"","SITE_ID","Humid_pt_daytime_2018.1","Humid_pt_daytime_2018.2","Humid_pt_daytime_2018.3","Humid_pt_daytime_2018.4","Humid_pt_daytime_2018.5","Humid_pt_daytime_2018.6","Humid_pt_daytime_2018.7","Humid_pt_daytime_2018.8","Humid_pt_daytime_2018.9","Humid_pt_daytime_2018.10","Humid_pt_daytime_2018.11","Humid_pt_daytime_2018.12","Humid_pt_daytime_2019.1","Humid_pt_daytime_2019.2","Humid_pt_daytime_2019.3","Humid_pt_daytime_2019.4","Humid_pt_daytime_2019.5","Humid_pt_daytime_2019.6","Humid_pt_daytime_2019.7","Humid_pt_daytime_2019.8","Humid_pt_daytime_2019.9","Humid_pt_daytime_2019.10","Humid_pt_daytime_2019.11","Humid_pt_daytime_2019.12"
"1","Ambakoana",69.25,64.8125,68.25,69.1875,66.5625,61.78125,66.0625,58.6875,57.9375,57.90625,59.75,61.46875,70.5625,62.5,67.5625,67.9375,66.625,68.4375,66.6875,58.21875,56.59375,51.9375,59.8125,63
"2","AngavoBe",69.25,64.8125,68.25,69.1875,66.5625,61.78125,66.0625,58.6875,57.9375,57.90625,59.75,61.46875,70.5625,62.5,67.5625,67.9375,66.625,68.4375,66.6875,58.21875,56.59375,51.9375,59.8125,63
"3","AngavoKely",69.25,64.8125,68.25,69.1875,66.5625,61.78125,66.0625,58.6875,57.9375,57.90625,59.75,61.46875,70.5625,62.5,67.5625,67.9375,66.625,68.4375,66.6875,58.21875,56.59375,51.9375,59.8125,63
"4","Ankarana_Canyon",70.25,66.6875,69.8125,64.625,60.40625,61.8125,55.28125,51.875,53,51.0625,58.125,60.71875,70,68.5,66.25,66.6875,63.84375,58.375,56.75,52.90625,52,54.28125,62.0625,66.25
"5","Ankarana_Cathedral",70.25,66.6875,69.8125,64.625,60.40625,61.8125,55.28125,51.875,53,51.0625,58.125,60.71875,70,68.5,66.25,66.6875,63.84375,58.375,56.75,52.90625,52,54.28125,62.0625,66.25
"6","Ankarana_Chauves_Souris",70.25,66.6875,69.8125,64.625,60.40625,61.8125,55.28125,51.875,53,51.0625,58.125,60.71875,70,68.5,66.25,66.6875,63.84375,58.375,56.75,52.90625,52,54.28125,62.0625,66.25
"7","Lakato",69.25,64.8125,68.25,69.1875,66.5625,61.78125,66.0625,58.6875,57.9375,57.90625,59.75,61.46875,70.5625,62.5,67.5625,67.9375,66.625,68.4375,66.6875,58.21875,56.59375,51.9375,59.8125,63
"8","Mahabo",47.71875,48.625,40,41.3125,33.0625,32.65625,31.375,23.46875,26.390625,27.53125,29.03125,37.28125,54.625,50.1875,49.65625,40.65625,38.1875,36.40625,31.140625,21.734375,27.84375,27.34375,31.09375,39.59375
"9","Mahialambo",67.4375,62.34375,66.4375,67.25,60.96875,58.4375,65.125,54.0625,52.1875,50.9375,51.96875,54.34375,69.8125,63.53125,65.25,65.8125,62.65625,67.6875,63.34375,58.25,51.28125,47,53.3125,58.9375
"10","Makira",78.8125,79.125,78.25,80.6875,77.0625,76.5,74.1875,71.9375,75.75,76.125,78.125,77.9375,80.375,80.625,79.9375,82.75,79.375,74.75,76.375,74.3125,76.4375,76.75,80.5625,80.625
"11","Mangarivotra",67.4375,62.34375,66.4375,67.25,60.96875,58.4375,65.125,54.0625,52.1875,50.9375,51.96875,54.34375,69.8125,63.53125,65.25,65.8125,62.65625,67.6875,63.34375,58.25,51.28125,47,53.3125,58.9375
"12","Maromizaha",69.25,64.8125,68.25,69.1875,66.5625,61.78125,66.0625,58.6875,57.9375,57.90625,59.75,61.46875,70.5625,62.5,67.5625,67.9375,66.625,68.4375,66.6875,58.21875,56.59375,51.9375,59.8125,63
"13","Marotsipohy",67.4375,62.34375,66.4375,67.25,60.96875,58.4375,65.125,54.0625,52.1875,50.9375,51.96875,54.34375,69.8125,63.53125,65.25,65.8125,62.65625,67.6875,63.34375,58.25,51.28125,47,53.3125,58.9375
"14","Marovitsika",69.25,64.8125,68.25,69.1875,66.5625,61.78125,66.0625,58.6875,57.9375,57.90625,59.75,61.46875,70.5625,62.5,67.5625,67.9375,66.625,68.4375,66.6875,58.21875,56.59375,51.9375,59.8125,63
